dataset,cache_size,bin,admit_rate_full_mean,admit_rate_base_mean,HR_full_mean,HR_base_mean,HR_diff,n_slots
wiki2018,60463,4,0.07970014336980082,0.13467192299888908,0.5242673684210527,0.5137136842105264,0.01055368421052627,19
wiki2018,80617,0,0.05000278451864651,0.18993199241228062,0.5843027272727271,0.5750999999999998,0.009202727272727307,22
wiki2018,80617,1,0.05000744101036258,0.1957100784756171,0.5988353333333334,0.5877686666666668,0.011066666666666558,15
wiki2018,80617,2,0.05001217467194959,0.19399166237512283,0.5964606666666668,0.5844600000000001,0.01200066666666666,15
wiki2018,80617,3,0.05001731697893734,0.19594529684199824,0.6008678947368422,0.5891810526315789,0.011686842105263273,19
wiki2018,80617,4,0.09955764953295836,0.18881142409577817,0.5503533333333334,0.5377911111111112,0.012562222222222141,18
wiki2018,100772,0,0.05000360990257276,0.24635205839208046,0.6118275000000001,0.5930215,0.0188060000000001,20
wiki2018,100772,1,0.05000911668718283,0.24607069180566696,0.6115764705882354,0.5923758823529411,0.019200588235294247,17
wiki2018,100772,2,0.05001387802494916,0.2485657227880146,0.6122764705882353,0.5974935294117647,0.01478294117647061,17
wiki2018,100772,3,0.050019624344791125,0.2555357042043232,0.6280469999999999,0.6119109999999999,0.01613600000000004,20
wiki2018,100772,4,0.14783878002710038,0.24027875599796877,0.553841875,0.5394656250000001,0.01437624999999998,16
wikipedia_september_2007,12221,0,0.010209387801744855,0.014245730261594185,0.644405,0.6414671428571429,0.002937857142857103,14
wikipedia_september_2007,12221,1,0.010279954345311345,0.013958791816895775,0.6476561111111111,0.6459744444444443,0.0016816666666668034,18
wikipedia_september_2007,12221,2,0.010337173414177161,0.014049596885836192,0.6494441176470588,0.6477752941176471,0.0016688235294116671,17
wikipedia_september_2007,12221,3,0.01042737864458935,0.013650899330402604,0.6511086666666668,0.6507946666666666,0.0003140000000001475,15
wikipedia_september_2007,12221,4,0.021523880688252218,0.015397724286683482,0.5979720000000001,0.5761033333333333,0.02186866666666676,15
wikipedia_september_2007,15277,0,0.012958204859305674,0.018500810828303304,0.652077,0.6476120000000001,0.004464999999999941,10
wikipedia_september_2007,15277,1,0.013054960665866727,0.01760752166842772,0.6551054545454545,0.6532795454545455,0.0018259090909090725,22
wikipedia_september_2007,15277,2,0.013147855613179498,0.017707123034342263,0.6576573913043477,0.6560108695652174,0.00164652173913038,23
wikipedia_september_2007,15277,3,0.013275768546391238,0.017328483327400366,0.6588822222222223,0.6579855555555556,0.0008966666666666567,9
wikipedia_september_2007,15277,4,0.03172435134807586,0.019460175325559825,0.5982087500000001,0.578870625,0.019338125000000095,16
wikipedia_september_2007,30554,0,0.0493320135158284,0.06760127320934317,0.67689625,0.6738562499999999,0.0030400000000000427,16
wikipedia_september_2007,30554,1,0.049995311655618796,0.06958607581590878,0.68279625,0.6812975,0.0014987499999999931,16
wikipedia_september_2007,30554,2,0.0500161933291825,0.0692784787670849,0.6814115,0.6786045,0.002806999999999893,20
wikipedia_september_2007,30554,3,0.05002534358939502,0.0697024074945202,0.6832029411764706,0.681244705882353,0.0019582352941176495,17
wikipedia_september_2007,30554,4,0.0799972759048424,0.06540803456082812,0.5982318181818181,0.5904890909090909,0.00774272727272729,11
wikipedia_september_2007,45831,0,0.050003081546413496,0.142679073021645,0.7017140000000001,0.696331,0.005383000000000027,20
wikipedia_september_2007,45831,1,0.05001003257728638,0.14195565019843465,0.699626,0.694995,0.004630999999999941,10
wikipedia_september_2007,45831,2,0.05001592818554622,0.1431722076742296,0.7033115,0.697873,0.005438500000000013,20
wikipedia_september_2007,45831,3,0.0500244015637427,0.1424294868426125,0.7007757142857144,0.6961114285714285,0.0046642857142858984,14
wikipedia_september_2007,45831,4,0.1034979575310058,0.13599368054290906,0.63953875,0.633371875,0.006166875000000016,16
wikipedia_september_2007,61109,0,0.05000327189956526,0.19684859334848687,0.716971875,0.70891125,0.008060625000000043,16
wikipedia_september_2007,61109,1,0.050011588530193,0.197476508800765,0.718826,0.71002,0.00880599999999998,15
wikipedia_september_2007,61109,2,0.050019455052902825,0.19605128995105817,0.7156542857142858,0.7076757142857143,0.007978571428571501,14
wikipedia_september_2007,61109,3,0.0500268321955763,0.19629954132286198,0.7172210526315789,0.7080842105263158,0.00913684210526311,19
wikipedia_september_2007,61109,4,0.12070960678873002,0.18695931810771615,0.6493253333333333,0.6421699999999999,0.007155333333333402,15
wikipedia_september_2007,76386,0,0.05000376472303292,0.2526113519546766,0.7314782352941177,0.7178441176470588,0.013634117647058908,17
wikipedia_september_2007,76386,1,0.05001308837081527,0.25043444087897865,0.725425294117647,0.7150876470588237,0.01033764705882334,17
wikipedia_september_2007,76386,2,0.050021116619673095,0.2511095385361999,0.7272433333333334,0.7159016666666668,0.011341666666666583,12
wikipedia_september_2007,76386,3,0.05002726247164623,0.2517282825115411,0.7289023529411764,0.7166370588235295,0.012265294117646985,17
wikipedia_september_2007,76386,4,0.15481311830404798,0.23852750614508475,0.6638364705882354,0.6547888235294117,0.00904764705882366,17
